ime el.;simbol;at. Število;radij (?);elektroneg.;VEC;Tm (K);e/a;M (g/mol); gostota(kg/dm3); elektroneg. po Allenu
;;;;Pauling;;;;
Lithium;Li;3;1.519;0.98;1;454;1;6.941;0.534; 0.912
Beryllium;Be;4;1.128;1.57;2;1560;2;9.012;1.85; 1.576
Boron;B;5;0.82;2.04;3;2348;3;10.81;2.46; 2.051
Carbon;C;6;0.773;2.55;4;3823;4;12.011;2.23; 2.544
Nitrogen;N;7;0.75;3.04;5;63;5;14.007;1.25; 3.066
Oxygen;O;8;0.73;3.44;6;55;6;15.999;1.429; 3.610
Sodium;Na;11;1.857;0.93;1;371;1;22.99;0.967; 0.869
Magnesium;Mg;12;1.601;1.31;2;923;2;24.305;1.738; 1.293
Aluminum;Al;13;1.432;1.61;3;933;3;26.982;2.708; 1.613
Silicon;Si;14;1.153;1.9;4;1687;4;28.086;2.33; 1.916
Phosphorus;P;15;1.06;2.19;5;317;5;30.974;1.836; 2.253
Sulfur;S;16;1.02;2.58;6;388;6;32.066;2.06; 2.589
Potassium;K;19;2.31;0.82;1;336;1;39.098;0.856; 0.734
Calcium;Ca;20;1.976;1;2;1115;2;40.08;1.54; 1.034
Scandium;Sc;21;1.641;1.36;3;1814;3;44.956;2.99; 1.19
Titanium;Ti;22;1.462;1.54;4;1941;4;47.88;4.5; 1.38
Vanadium;V;23;1.316;1.63;5;2183;5;50.942;6.11; 1.53
Chromium;Cr;24;1.249;1.66;6;2180;6;51.996;7.14; 1.65
Manganese;Mn;25;1.35;1.55;7;1519;7;54.938;7.47; 1.75
Iron;Fe;26;1.241;1.83;8;1811;8;55.847;7.87; 1.80
Cobalt;Co;27;1.251;1.88;9;1768;8;58.933;8.9; 1.84
Nickel;Ni;28;1.246;1.91;10;1728;8;58.69;8.91; 1.88
Copper;Cu;29;1.278;1.9;11;1358;1;63.546;8.96; 1.85
Zinc;Zn;30;1.395;1.65;12;693;2;65.39;7.14; 1.59
Gallium;Ga;31;1.392;1.81;3;303;3;69.72;5.9; 1.756
Germanium;Ge;32;1.24;2.01;4;1211;4;72.61;5.32; 1.994
